GEOID20,District
34033020001,10
34033001501,10
34033042009,10
34033000703,10
34033042001,10
34033007001,10
34033030001,10
34033004204,10
34033004206,10
34033004208,10
34033042007,10
34033005002,10
34033070001,10
34033004205,10
34033060E01,10
3403360W001,10
3403360W002,10
34033060E02,10
34033004203,10
34033004202,10
34011ZZZZZZ,10
34011025003,10
34033020002,10
34011060001,10
34011030001,10
34033000702,3
34029025417,8
34029025422,8
34029025415,8
34029060010,8
34029060009,8
34029055014,8
34029055004,8
34029055003,8
34029055001,8
34029055011,8
34029090009,8
34029090040,8
34037120001,4
34005195001,8
34005150012,8
34005150011,8
34005150001,8
34005150014,8
34005150009,8
34005150013,8
34005135002,8
34005135003,8
34005170003,8
34005170006,8
34005170004,8
34005180004,8
34005180001,8
34005170005,8
34021035007,6
34021035004,6
34021030008,6
34021030005,6
34021050004,6
34005180005,8
34005180002,8
34005180003,8
34005170002,8
34005090007,8
34005950009,8
34005090006,8
34005090008,8
34005090003,8
34005105014,8
34005105012,8
34005110001,8
34005110002,8
34029025116,5
34029060013,5
34029060014,5
34029025139,5
34029025102,5
34005110003,8
34005110004,8
34029025104,5
34029060012,8
34029060004,5
34029060006,5
34029060005,8
34029060018,8
34029025332,8
34005105010,8
34005105004,8
34005105013,8
34005025301,8
34005025101,8
34005025302,8
34005105007,11
34005105011,11
34005105003,11
34029060002,8
34005065024,8
34005065008,11
34005065030,8
34005065028,11
34005065019,11
34005065017,11
34005065027,11
34005065029,11
34005065032,11
34005065018,11
34005065015,11
34005065011,11
34005125026,11
34005065020,11
34005065031,11
34005065010,11
34007170006,11
34005065026,11
34005065016,11
34007043034,11
34007170013,11
34007170014,11
34005065002,11
34007043033,11
34005065004,11
34005065014,11
34005065001,11
34005065003,11
34007170015,11
34007170008,11
34007043036,11
34007043046,11
34007170003,11
34007170007,11
34007043047,11
34041070001,6
34041055002,4
34041055001,6
34007170019,10
34007170017,10
34025090004,9
34025140003,9
34025047005,9
34025090009,9
34029060003,8
34007170005,10
34007170002,10
34007170012,10
34007043029,10
34007043030,10
34007170001,10
34007043005,10
34007170018,10
34007043035,10
34007043002,10
34007043014,10
34007170004,10
34007155001,10
34007105002,10
34007105001,10
34007015005,3
34007015002,10
34007165001,10
34007085004,10
34007155003,10
34007115001,10
34007115002,10
34007155002,10
34007135018,3
34007135014,3
34007135003,10
34007135009,10
34007115003,3
34007075009,3
34007115004,3
34007150005,3
34007015004,3
34007015003,3
34007015001,3
34007090003,3
34007090002,3
34007020001,3
34007020007,3
34007075021,3
34007130001,3
34007055001,3
34007150003,3
34007150001,3
34007150004,3
34007150002,3
34007020002,3
34007125003,3
34007150006,3
34015010004,3
34007020004,3
34007020003,3
34007040404,3
34007040405,3
34007040402,3
34015010019,3
34015105001,3
34007035001,3
34015010020,3
34015010017,3
34015100003,3
34015010007,3
34015105003,3
34015010015,3
34015100002,3
34015105002,3
34015110103,3
34015110102,3
34029060016,8
34015110101,3
34015100010,3
34015100009,3
34029025320,8
34029025206,8
34015060002,3
34015100015,3
34015100008,3
34015100005,3
34015060003,3
34015100007,3
34015060004,3
34015060001,3
34015100001,3
34015100016,3
34015070005,3
34029005001,5
34029102002,5
34029025000,5
34029ZZZZZZ,5
34029060008,5
34029060015,5
34029085003,5
34029060007,8
34029060017,5
34029060011,8
34029102001,8
34029102005,5
34029102006,5
34029102004,5
34029150018,5
34029003002,5
34029003004,5
34029003006,5
34029003007,5
34029003012,5
34029003008,5
34029003005,8
34029160002,5
34029160001,5
34029080005,5
34029080001,5
34029080011,5
34029150005,8
34001010501,5
34001010502,5
34001010404,5
34001010302,5
34001010401,5
34005185001,8
34005005001,8
34001042103,8
34005165004,8
34005165002,8
34001045001,11
34001040004,11
34005165001,8
34005165003,8
34007175006,8
34007175004,11
34001065003,8
34005105016,11
34001050001,11
34001065002,11
34001065001,11
34007175003,11
34007175007,11
34007180202,11
34007180105,11
34007180104,11
34007045001,11
34007180106,11
34007170016,11
34007170011,11
34007170009,11
34007030003,11
34007030001,11
34007170010,11
34007025002,11
34007025004,11
34007110009,11
34007065002,10
34007065001,10
34009ZZZZZZ,2
34009015001,2
34015035002,3
34015035001,3
34015120002,3
34015080002,3
34007110004,10
34007050003,11
34007110007,10
34007110003,10
34007160001,10
34007160003,10
34007140001,10
34007095001,10
34007160006,10
34007160004,10
34007155004,10
34007110008,10
34007110001,10
34007160002,10
34007075026,10
34007075011,10
34007075015,3
34007075012,3
34007075025,10
34007075016,10
34007075024,3
34007075003,3
34015035005,3
34015070002,3
34015035004,3
34015070001,3
34007075001,3
34015070003,3
34015070004,3
34007075022,3
34011040001,10
34007075002,3
34007075006,3
34015090008,3
34007075013,3
34015010008,3
34007075004,3
34015010021,3
34033070002,10
34015025005,10
34015025007,10
34033050001,10
34015010018,3
34015010006,3
34015010002,3
34015010010,3
34015010016,3
34015010022,3
34015010009,3
34015110201,3
34015110203,3
34015110202,3
34015110302,3
34015110204,3
34015110304,3
34015110303,3
34015110301,3
34015040004,10
34015040002,3
34015050001,3
34015050010,3
34015075007,3
34015075004,3
34015050006,3
34015100006,3
34015100013,3
34015100017,3
34015100011,3
34015100014,3
34015050012,3
34015050008,3
34015015001,3
34029080002,8
34001010603,5
34001010601,5
34001010602,5
34001110005,5
34001010402,5
34001010403,5
34001010301,5
34001095201,11
34001095104,11
34001095103,11
34001055015,5
34001005101,11
34001055014,5
34001055001,5
34001055009,5
34001100201,5
34001055008,5
34001055007,11
34001100101,5
34001055002,8
34001085201,8
34001085301,8
34001010303,5
34001010203,5
34001010202,5
34001015401,5
34001015301,5
34001ZZZZZZ,5
34001010104,5
34001015101,5
34029080008,5
34029080014,5
34029085002,5
34009050002,2
34009050001,2
34029080007,8
34029080013,5
34029040001,5
34001025003,11
34001105204,11
34001105102,11
34001105103,11
34001040005,11
34001040001,11
34011020002,10
34011020001,10
34011010001,10
34001040006,11
34001105104,11
34011070608,11
34011050104,11
34011070602,11
34011070607,11
34011070609,11
34011015001,10
34033050004,10
34011070205,10
34011045002,10
34009030007,2
34009030015,2
34009020006,2
34009030001,2
34009020007,2
34001070201,11
34011045001,11
34001040002,11
34001105201,11
34001105203,11
34001040018,11
34001055004,11
34001070202,11
34009020003,11
34009055001,11
34001070102,11
34001070101,11
34001070203,11
34009030009,2
34009030004,2
34009030005,2
